,doc_url,name,bulletin,topic,commission
171_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/580-Iniciativa-Convencional-Constituyente-de-cc-Daniel-Stingo-sobre-Contraloria-General-de-la-Republica-2318-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración constitucional de la Contraloría General de la República,Boletín 580-6,Contraloría general de la República,Comisión sobre Sistemas de Justicia
173_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/578-Iniciativa-Convencional-Constituyente-de-cc-Christian-Viera-sobre-Ministerio-Publico-2308-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración constitucional del Ministerio Público,Boletín 578-6,Ministerio Público,Comisión sobre Sistemas de Justicia
175_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/576-Iniciativa-Convencional-Constituyente-de-cc-Bernardo-de-La-Maza-sobre-Medios-de-Comunicacion-Publicos-2310-hrs.-01.pdf,Iniciativa Convencional Constituyente sobre medios de comunicación públicos,Boletín 576-7 ,Medios de Comunicación públicos,Comisión sobre Sistemas de Conocimientos
177_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/574-Iniciativa-Convencional-Constituyente-de-cc-Vanessa-Hoppe-sobre-Defensoria-de-los-Pueblos-2351-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre Defensoría de los Pueblos,Boletín 574-6,Defensoría de los pueblos,Comisión sobre Sistemas de Justicia
179_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/572-Iniciativa-Convencional-Constituyente-de-cc-Roberto-Vega-sobre-Libertad-de-expresion-2304-hrs.-01-02.pdf,Iniciativa Convención Constitucional sobre libertad de expresión y pluralismo y regionalismo en la información,Boletín 572-4 ,Libertad de expresión,Comisión de Derechos Fundamentales
182_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/569-Iniciativa-Convencional-Constituyente-de-cc-Roberto-Celedon-sobre-Derecho-al-trabajo-2024-hrs.-01-02.pdf,"Iniciativa Convencional Constituyente que reconoce el Derecho al Trabajo y su Libre Determinación, la Libertad Sindical, el Derecho a Negociación Colectiva y el Derecho a Huelga",Boletín 569-4 ,"Derecho al trabajo, libertad sindical, negociación colectiva y derecho a huelga",Comisión de Derechos Fundamentales
184_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/567-Iniciativa-Convencional-Constituyente-de-cc-Marcos-Barraza-sobre-Justicia-Territorial-2019-hrs.-01-02.pdf,Iniciativa Convencional Constituyente que establece el Deber del Estado de velar por el acceso de las personas a servicios públicos,Boletín 567-3,Acceso personas a servicios públicos,Comisión sobre Forma de Estado
188_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/563-Iniciativa-Convencional-Constituyente-de-cc-Dayyana-Gonzalez-sobre-normas-transitorias-de-tomas-2040-hrs.-01-02.pdf,"Iniciativa Convencional Constituyente que establece el Deber de Abstención del Estado de realizar desalojos forzosos, desplazamientos arbitrarios o cualquier otra acción equivalente",Boletín 563-4 ,Deber de abstención sobre desalojos forzosos,Comisión de Derechos Fundamentales
190_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/560-Iniciativa-Convencional-Constituyente-de-cc-Andres-Cruz-sobre-Ministerio-Publico-2016-hrs.-01-02.pdf,Iniciativa Convencional Constituyente que regula el Ministerio Público,Boletín 560-6,Ministerio Público,Comisión sobre Sistemas de Justicia
181_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/570-Iniciativa-Convencional-Constituyente-de-cc-Valentina-Miranda-sobre-Dereco-a-la-Seguridad-Social-2008-hrs.-01-02.pdf,"Iniciativa Convencional Constituyente que establece el Reconocimiento, Garantía y Respeto del Derecho a la Seguridad Social",Boletín 570-4,Derecho a seguridad social,Comisión de Derechos Fundamentales
183_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/568-Iniciativa-Convencional-Constituyente-de-cc-Miguel-Angel-Botto-sobre-Reconomiento-de-trabajadoras-1732-hrs.-01-02.pdf,"Iniciativa Convencional Constituyente que reconoce la Libertad Sindical, el Derecho a la Negociación Colectiva y el Derecho a Huelga de los trabajadores y trabajadoras",Boletín 568-4 ,"Libertad sindical, negociación colectiva y derecho a huelga ",Comisión de Derechos Fundamentales
185_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/566-Iniciativa-Convencional-Constituyente-de-cc-Lorena-Cespesdes-neurodivergentes-1750-hrs.-01-02.pdf,Iniciativa Convencional Constituyente que garantiza los Derechos Individuales y Colectivos de las Personas Neurodivergentes,Boletín 566-4 ,Derechos individuales y colectivos de personas neurodivergentes,Comisión de Derechos Fundamentales
187_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/564-Iniciativa-Convencional-Constituyente-de-cc-Jaime-Bassa-sobre-Defensoria-de-los-Pueblos-2050-hrs.-01-02.pdf,Iniciativa Convencional Constituyente que crea como Órgano Autónomo la Defensoría de los Pueblos,Boletín 564-6,Defensoría de los pueblos,Comisión sobre Sistemas de Justicia
192_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/558-Iniciativa-Convencional-Constituyente-de-cc-Andres-Cruz-sobre-Contraloria-General-de-la-Republica-1755-hrs.-01-02.pdf,Iniciativa Convencional Constituyente que regula la Contraloría General de la República,Boletín 558-6,Contraloría General de la República,Comisión sobre Sistemas de Justicia
194_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/556-Iniciativa-Convencional-Constituyente-de-cc-Alvaro-Jofre-sobre-Derechoa-la-representacion-politica-2044-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración al derecho de representar en política local y regional,Boletín 556-4 ,Derecho de representar,Comisión de Derechos Fundamentales
196_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/554-Iniciativa-Convencional-Constituyente-del-cc-Pedro-Munoz-sobre-gestion-integrada-de-cuencas-1752-01-02.pdf,Iniciativa Convencional Constituyente sobre protección de las Cuencas Hidrográficas,Boletín 554-5 ,Cuencas hidrográficas,Comisión sobre Medio Ambiente
198_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/552-Iniciativa-Convencional-Constituyente-de-la-cc-Janis-Meneses-sobre-igualdad-ante-la-ley-1741-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración del Derecho igualdad ante la ley,Boletín 552-4 ,Derecho a igualdad ante la ley,Comisión de Derechos Fundamentales
200_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/550-Iniciativa-Convencional-Constituyente-de-la-cc-Janis-Meneses-sobre-informacion-publica-1705-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración del Derecho de Acceso a la Información Pública,Boletín 550-4,Acceso a Información Pública,Comisión de Derechos Fundamentales
191_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/559-Iniciativa-Convencional-Constituyente-de-cc-Andres-Cruz-sobre-Defensoria-Penal-Publica-2017-hrs.-01-02.pdf,Iniciativa Convencional Constituyente que regula la Defensoría Penal Pública,Boletín 559-6,Defensoría Penal Pública,Comisión sobre Sistemas de Justicia
193_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/557-Iniciativa-Convencional-Constituyente-de-cc-Andres-Cruz-sobre-Agencia-Nacional-del-agua-2013-hrs.-01-02.pdf,Iniciativa Convencional Constituyente que crea la Autoridad Nacional del Agua como Órgano Autónomo,Boletín 557-6,Autoridad Nacional del Agua,Comisión sobre Sistemas de Justicia
195_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/555-Iniciativa-Convencional-Constituyente-del-convencional-Bernardo-Fontaine-sobre-libertad-de-trabajo-1737-01-02.pdf,"Iniciativa Convencional Constituyente sobre consagración del derecho a la libertad de trabajo y su protección, y los derechos colectivos de los trabajadores",Boletín 555-4 ,Derecho a la libertad de trabajo,Comisión de Derechos Fundamentales
197_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/553-Iniciativa-Convencional-Constituyente-del-cc-Harry-Jurgensen-sobre-derecho-al-deporte-1758-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración del Derecho al Deporte,Boletín 553-4 ,Derecho al deporte,Comisión de Derechos Fundamentales
199_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/551-Iniciativa-Convencional-Constituyente-de-la-cc-Janis-Meneses-sobre-derecho-al-ocio-1707-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración del Derecho al Ocio,Boletín 551-4 ,Derecho al ocio,Comisión de Derechos Fundamentales
202_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/548-Iniciativa-Convencional-Constituyente-de-la-cc-Patricia-Politzer-sobre-libertad-de-expresion-1653-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración del Derecho a la Libertad de Expresión,Boletín 548-4 ,Derecho a la libertad de expresión,Comisión de Derechos Fundamentales
204_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/546-Iniciativa-Convencional-Constituyente-del-cc-Miguel-Angel-Botto-sobre-trabajo-de-cuidados-1631-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración del Derecho al cuidado y reconocimiento del trabajo doméstico y de cuidado no remunerado,Boletín 546-4 ,Derecho al cuidado y reconocimiento trabajo doméstico,Comisión de Derechos Fundamentales
206_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/544-Iniciativa-Convencional-Constituyente-del-cc-Andres-Cruz-sobre-reforma-constitucional-1623-01-02.pdf,Iniciativa Convencional Constituyente sobre reforma y reemplazo de la Constitución,Boletín 544-6,Reforma de la Constitución,Comisión sobre Sistemas de Justicia
208_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/542-Iniciativa-Convencional-Constituyente-del-cc-Rodrigo-Alvarez-sobre-emblemas-regionales-1601-01-02.pdf,Iniciativa Convencional Constituyentes sobre emblemas regionales,Boletín 542-2,Emblemas regionales,Comisión sobre Principios Constitucionales
210_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/540-Iniciativa-Convencional-Constituyente-de-cc-Jorge-Abarca-sobre-proteccion-animal-1524-01-02.pdf,Iniciativa Convencional Constituyente sobre protección constitucional a los animales,Boletín 540-5 ,Protección a los animales,Comisión sobre Medio Ambiente
201_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/549-Iniciativa-Convencional-Constituyente-de-la-cc-Barbara-Sepulveda-sobre-libertad-de-conciencia-1701-01-02.pdf,"Iniciativa Convencional Constituyente sobre consagración de la Libertad de Conciencia, Religión, Culto y Estado Laico",Boletín 549-2 ,"Libertad de Conciencia, religión, culto y estado laico",Comisión sobre Principios Constitucionales
203_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/547-Iniciativa-Convencional-Constituyente-de-la-cc-Francisca-Arauna-sobre-ferias-libres-1639-01-02.pdf,Iniciativa Convencional Constituyente sobre consagración y Protección de Ferias y Comunidades Locales,Boletín 547-4 ,Protección ferias y comunidades locales,Comisión de Derechos Fundamentales
205_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/545-Iniciativa-Convencional-Constituyente-del-cc-Gaspar-Dominguez-sobre-comunidad-y-familia-1626-01-02.pdf,Iniciativa Convencional Constituyentes sobre reconocimiento de la diversidad de comunidades y familias,Boletín 545-2 ,Reconocimiento diversidad de comunidades y familias,Comisión sobre Principios Constitucionales
207_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/543-Iniciativa-Convencional-Constituyente-de-la-cc-Isabel-Godoy-sobre-derechos-humanos-1609-01-02.pdf,Iniciativa Convencional Constituyente sobre Política Nacional de Reparación Integral,Boletín 543-4 Popular,Política Nacional de Reparación Integral,Comisión de Derechos Fundamentales
209_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/541-Iniciativa-Convencional-Constituyente-de-la-cc-Barbara-Rebolledo-sobre-servicio-nacional-fe-publica-1547-01-02-002.pdf,Iniciativa Convencional Constituyente que crea el Nuevo Servicio Nacional de Fe Pública,Boletín 541-6,Servicio Nacional de Fe Pública,Comisión sobre Sistemas de Justicia
212_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/538-Iniciativa-Convencional-Constituyente-presentada-por-Paola-Grandon-sobre-rehabilitacion-1342-01-02-1.pdf,"Iniciativa Convencional Constituyente sobre rehabilitación, Reinserción e Inclusión de Personas en Situación de Calle",Boletín 538-3,Personas en situación de calle,Comisiones sobre Forma de Estado y Principios Constitucionales
214_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/536-Iniciativa-Convencional-Constituyente-del-cc-Jorge-Arancibia-sobre-Chilenos-en-el-exterior-1707-01-02-1.pdf,Iniciativa Convencional Constituyente sobre el derecho de sufragio de chilenos en el extranjero y definición de quienes son chilenos.,Boletín 536-4 ,Derecho a sufragio chilenos en el extranjero,Comisión sobre Principios Constitucionales
216_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/534-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Harboe-sobre-Reunion-y-Manifestacion-1625-hrs.-01-02-1.pdf,Iniciativa Convencional Constituyente sobre derecho a reunión y manifestación,Boletín 534-4 Popular,Derecho a reunión y manifestación,Comisión de Derechos Fundamentales
218_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/532-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Harboe-sobre-Derecho-a-la-Seguridad-1623-hrs.-01-02-1.pdf,Iniciativa Convencional Constituyente sobre el deber estatal en materia de seguridad pública o ciudadana,Boletín 532-1,Seguridad pública y ciudadana,Comisión sobre Sistema Político
211_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/539-Iniciativa-Convencional-Constituyente-de-la-cc-Barbara-Sepulveda-sobre-administracion-de-justicia-1510-01-02-1.pdf,Iniciativa Convencional Constituyente sobre administración de justicia con perspectiva de género,Boletín 539-6,Administración de Justicia con perspectiva de género,Comisión sobre Sistemas de Justicia
213_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/537-Iniciativa-Convencional-Constituyente-del-cc-Manuel-Ossandon-sobre-Derecho-a-la-salud-1709-01-02-1.pdf,Iniciativa Convencional Constituyente sobre igualdad ante la ley,Boletín 537-4 ,Igualdad ante la ley,Comisión de Derechos Fundamentales
215_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/535-Iniciativa-Convencional-Constituyente-de-la-cc-Elisa-Loncon-sobre-Educacion-Intercultural-1705-01-02-1.pdf,Iniciativa Convencional Constituyente sobre el derecho a una educación intercultural,Boletín 535-4 ,Derecho a educación intercultural,Comisión de Derechos Fundamentales
217_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/533-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Harboe-sobre-D°-a-la-Libertad-1625-hrs.-01-02-1.pdf,Iniciativa Convencional Constituyente sobre el derecho a la libertad,Boletín 533-4 ,Derecho a la libertad,Comisión de Derechos Fundamentales
219_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/531-Iniciativa-Convencional-Constituyente-de-cc-Roberto-Vega-sobre-Agua-y-politica-hidrica-1528-hrs.-01-02-1.pdf,Iniciativa Convencional Constituyente que incorpora el estatuto constitucional del agua,Boletín 531-5,Estatuto Constitucional del agua,Comisión sobre Medio Ambiente
426_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/529-4-Iniciativa-Convencional-Constituyente-de-cc-Maria-Magdalena-Rivera-sobre-Fin-a-Prision-Politica-1355-hrs.-01-02.pdf,Iniciativa Convencional Constituyente de fin a prisión política en el Estado de Chile,Boletín 529-4,Fin a prisión política,Comisión de Derechos Fundamentales
428_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/527-5-Iniciativa-Convencional-Constituyente-de-cc-Marcos-Barraza-sobre-Renacionalizacion-del-Cobre-1516-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre renacionalización del cobre y otros bienes públicos estratégicos,Boletín 527-5,Renacionalización del cobre y bienes estratégicos,Comisión sobre Medio Ambiente
430_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/525-5-Iniciativa-Convencional-Constituyente-de-cc-Isabel-Godoy-sobre-Derecho-Humano-al-Agua-1218-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre el derecho humano al agua y su saneamiento,Boletín 525-5,Derecho al agua y saneamiento,Comisión sobre Medio Ambiente
425_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/530-4-Iniciativa-Convencional-Constituyente-de-cc-Miguel-Angel-Botto-sobre-Trabajo-Precario-1537-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre el trabajo precario en los municipios,Boletín 530-4,Municipalidades,Comisión de Derechos Fundamentales
427_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/528-5-Iniciativa-Convencional-Constituyente-de-cc-Margarita-Vargas-sobre-Responsavilidad-Empresarial-1317-hrs.-01-02.pdf, Iniciativa Convencional Constituyente de responsabilidad empresarial,Boletín 528-5,Responsabilidad empresarial,Comisión sobre Medio Ambiente
429_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/526-2-Iniciativa-Convencional-Constituyente-de-cc-Marcos-Barraza-sobre-recepcion-de-TTII-en-DDHH-1140-hrs.-01-02.pdf,Iniciativa Convencional Constituyente de recepción constitucional de los tratados internacionales de derechos humanos ,Boletín 526-2,Tratados internacionales de DDHH,Comisión sobre Principios Constitucionales
432_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/523-4-Iniciativa-Convencional-Constituyente-de-cc-Felipe-Harboe-sobre-Libertad-de-Expresion-e-informacion-1130-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre moción constitucional sobre el derecho a la libertad de expresión y de información,Boletín 523-4,Derecho a la libertad de expresión e información,Comisión de Derechos Fundamentales
434_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/521-5-Iniciativa-Convencional-Constituyente-de-cc-Elsa-Labrana-sobre-Proteccion-de-semillas-1145-hrs.-01-02.pdf,"Iniciativa Convencional Constituyente que garantiza la protección de las semillas como patrimonio natural vivo e incorpora la figura del guardador/guardadora, curados/curadora de semillas",Boletín 521-5,Protección de las semillas,Comisiones sobre Medio Ambiente y Sistemas de Justicia
436_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/518-7-Iniciativa-Convencional-Constituyente-de-cc-Bernardo-de-la-Maza-sobre-Medios-de-Comunicacion-1521-hrs.-01-02.pdf,Iniciativa Convencional Constituyente sobre Medios de Comunicación Públicos,Boletín 518-7,Medios de Comunicación públicos,Comisión sobre Sistemas de Conocimientos
438_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/516-4-Iniciativa-Convencional-Constituyente-de-la-cc-Manuela-Royo-sobre-Derecho-a-la-Energia-1538-01-02.pdf,Iniciativa Convencional Constituyente que reconoce a la energía como derecho fundamental y establece un Estatuto de Energía,Boletín 516-4,Derecho a la Energía,Comisiones de Derechos Fundamentales y sobre Medio Ambiente
440_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/514-4-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Harboe-sobre-Derecho-a-la-Privacidad-1245-01-02.pdf,Iniciativa Convencional Constituyente sobre tutela judicial efectiva y del debido proceso,Boletín 514-4,Tutela judicial,Comisión de Derechos Fundamentales
431_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/524-4-Iniciativa-Convencional-Constituyente-de-cc-Felipe-Harbor-sobre-DERECHO-A-LA-PRIVACIDAD-1154-hrs.-01-02.pdf, Iniciativa Convencional Constituyente de moción constitucional sobre el derecho a la privacidad y la autodeterminación informativa,Boletín 524-4,Derecho a la privacidad,Comisión de Derechos Fundamentales
433_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/522-1-Iniciativa-Convencional-Constituyente-de-cc-Felipe-Harboe-sobre-Armas-1532-hrs.-01-02.pdf,Iniciativa Convencional Constituyente de moción constitucional sobre armas,Boletín 522-1,Armas,Comisión sobre Sistema Político
435_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/519-4-Iniciativa-Convencional-Constituyente-de-cc-Carolina-Videla-sobre-DDHH-y-Garantias-de-no-repeticion-1257-hrs.-01-02.pdf,"Iniciativa Convencional Constituyente sobre tortura y desaparición forzada, no más impunidad",Boletín 519-4,Tortura y desaparición forzada,Comisión de Derechos Fundamentales
437_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/517-7-Iniciativa-Convencional-Constituyente-de-cc-Andres-Cruz-sobre-Educacion-Superior-1525-hrs.-01-02.pdf,"Iniciativa Convencional Constituyente sobre educación superior inclusiva y diversa, con compromiso público regional y producción de conocimiento de excelencia",Boletín 517-7,Educación superior,Comisión sobre Sistemas de Conocimientos
439_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/515-4-Iniciativa-Convencional-Constituyente-de-la-cc-Giovanna-Grandon-sobre-Derecho-a-Migrar-1245-01-02.pdf,Iniciativa Convencional Constituyente sobre el derecho a migrar,Boletín 515-4,Derecho a migrar,Comisión de Derechos Fundamentales
442_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/512-4-Iniciativa-Convencional-Constituyente-del-cc-Bernardo-Fontaine-agua-potable-1105-01-02.pdf,Iniciativa Convencional Constituyente sobre el derecho humano a acceder al agua potable y al saneamiento,Boletín 512-4,Derecho al agua potable,Comisión de Derechos Fundamentales
444_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/510-1-Iniciativa-Convencional-Constituyente-de-Paulina-Veloso-sobre-democracia-interna-1206-01-02.pdf,Iniciativa Convencional Constituyente sobre democracia interna con visión local y regional para los partidos políticos,Boletín 510-1,Partidos Políticos,Comisión sobre Sistema Político
446_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/508-7-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-sobre-proteccion-de-datos-1140-01-02.pdf,Iniciativa Convencional Constituyente sobre Chile digital,Boletín 508-7,Chile digital,Comisión sobre Sistemas de Conocimientos
448_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/506-5-Iniciativa-Convencional-Constituyente-del-cc-Guillermo-Namor-sobre-Proteccion-a-los-Animales-1209-01-02.pdf,Iniciativa Convencional Constituyente que establece una protección constitucional a los animales,Boletín 506-5,Protección constitucional a los animales,Comisión sobre Medio Ambiente
450_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/502-5-Iniciativa-Convencional-Constituyente-del-cc-Nicolas-Nunez-sobre-Construccion-en-Armonia-1048-01-02.pdf,Iniciativa Convencional Constituyente sobre construcción en armonía con la vida,Boletín 502-5,Construcción en armonía con la vida,Comisión sobre Medio Ambiente
441_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/513-3-Iniciativa-Convencional-Constituyente-del-cc-Adolfo-Millabur-sobre-gobiernos-locales-1115-01-02.pdf,Iniciativa Convencional Constituyente sobre gobiernos locales en Chile,Boletín 513-3,Gobiernos locales,Comisión sobre Forma de Estado
443_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/511-7-Iniciativa-Convencional-Constituyente-del-cc-Francisco-Caamano-sobre-espectro-radioelectrico-1218-01-02.pdf,Iniciativa Convencional Constituyente sobre espectro radioeléctrico,Boletín 511-7,Espectro radioeléctrico,Comisión sobre Sistemas de Conocimientos
445_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/509-5-Iniciativa-Convencional-Constituyente-del-cc-Harry-Jurgensen-sobre-Desarrollo-Sostenible-1140-01-02.pdf,Iniciativa Convencional Constituyente para consagrar el desarrollo sostenible en la propuesta de nueva Constitución,Boletín 509-5,Desarrollo sostenible,Comisión sobre Medio Ambiente
447_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/507-2-Iniciativa-Convencional-Constituyente-de-la-cc-Giovanna-Grandon-sobre-Nacionalidad-1213-01-02.pdf,Iniciativa Convencional Constituyente sobre derecho a la nacionalidad,Boletín 507-2,Derecho a la nacionalidad,Comisión sobre Principios Constitucionales
449_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/504-1-Iniciativa-Convencional-Constituyente-de-la-cc-Pollyana-Rivera-Crea-el-Consejo-de-Seguridad-Nacional-1054-01-02.pdf,Iniciativa Convencional Constituyente que crea el Consejo de Seguridad del Estado,Boletín 504-1,Consejo Seguridad del Estado,Comisión sobre Sistema Político
452_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/500-5-Iniciativa-Convencional-Constituyente-del-cc-Nicolas-Nunez-sobre-Economia-Circular-959-01-02.pdf,Iniciativa Convencional Constituyente sobre el rol del Estado en la Economía circular,Boletín 500-5,Rol del Estado en economía circular,Comisión sobre Medio Ambiente
454_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/498-5-Iniciativa-Convencional-Constituyente-del-cc-Nicolas-Nunez-sobre-Justicia-Distributiva-952-01-02.pdf,"Iniciativa Convencional Constituyente que impone al Estado la redistribución de los recursos, para lograr la justicia territorial y el bienestar social",Boletín 498-5,Redistribución de los recursos,Comisión sobre Medio Ambiente
456_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/495-4-Iniciativa-Convencional-Constituyente-de-la-cc-Valentina-Miranda-sobre-Funcionarios-Publicos-942-01-02.pdf,"Iniciativa Convencional Constituyente que consagra derechos laborales de trabajadoras y trabajadores del Estado, en particular el derecho a huelga",Boletín 495-4,Derechos laborales de trabajadores del Estado,Comisión de Derechos Fundamentales
458_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/492-4-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Derecho-a-la-Rehabilitacion-0935-01-02.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la habilitación y rehabilitación que permita a la persona un óptimo funcionamiento y plena autonomía,Boletín 492-4,Derecho a la habilitación y rehabilitación,Comisión de Derechos Fundamentales
460_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/489-3-Iniciativa-Convencional-Constituyente-del-cc-Adolfo-Millabur-sobre-Autonomia-Territorial-Indigena-0925-01-02.pdf,Iniciativa Convencional Constituyente que establece y regula autonomías territoriales indígenas,Boletín 489-3,Autonomías Territoriales Indígenas,Comisión sobre Forma de Estado
451_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/501-3-Iniciativa-Convencional-Constituyente-de-la-cc-Carol-Bown-sobre-Funcion-Publica-1043-01-02.pdf,Iniciativa Convencional Constituyente que establece un nuevo sistema de función pública y consagra igualdad entre trabajadores del sector público y privado,Boletín 501-3,Función pública,"Comisiones sobre Forma de Estado, Sistema Político y Sistemas de Justicia"
453_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/499-5-Iniciativa-Convencional-Constituyente-del-cc-Nicolas-Nunez-sobre-Pobreza-Multidimensional-954-01-02.pdf,Iniciativa Convencional Constituyente que impone al Estado el deber de promover las condiciones que permitan la superación de la pobreza multidemensional,Boletín 499-5,Superación de la pobreza,Comisión sobre Medio Ambiente
455_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/497-7-Iniciativa-Convencional-Constituyente-de-la-cc-Malucha-Pinto-sobre-Derecho-de-Propiedad-949-01-02.pdf,"Iniciativa Convencional Constituyente que regula el derecho de propiedad, sus atributos y limitaciones",Boletín 497-7,Derecho de propiedad,Comisión sobre Sistemas de Conocimientos
